,ID,Name,Year,Rank,Average,Bayes average,Users rated,recommendation1,recommendation2,recommendation3,recommendation4,recommendation5,recommendation6,recommendation7,recommendation8,recommendation9,recommendation10,recommendation11,recommendation12,recommendation13,recommendation14,recommendation15,recommendation16,recommendation17,recommendation18,recommendation19,recommendation20,recommendation21,recommendation22,recommendation23,recommendation24,recommendation25,recommendation26,recommendation27,recommendation28
64,191189,Aeon's End,2016,65,8.01,0.01,13717,241451,218417,121921,162886,291457,318184,316554.0,255984.0,201808.0,318182.0,169426.0,174430.0,316412.0,361545.0,199792.0,329082.0,233371.0,266507.0,223040.0,328871.0,300531.0,244115.0,285192.0,216734.0,170216.0,270844.0,169786.0,96848.0
65,159675,Fields of Arle,2014,66,8.08,0.01,8996,143693,35677,300322,193738,70149,102680,,,,,,,,,,,,,,,,,,,,,,
66,266810,Paladins of the West Kingdom,2019,67,8.03,0.01,11024,296151,350316,247763,236457,170042,183394,,,,,,,,,,,,,,,,,,,,,,
67,28143,Race for the Galaxy,2007,68,7.76,0.01,48790,31260,132531,84876,63888,120677,68448,,,,,,,,,,,,,,,,,,,,,,
68,121921,Robinson Crusoe: Adventures on the Cursed Island,2012,69,7.82,0.01,36953,191189,188920,162886,154203,96848,192458,,,,,,,,,,,,,,,,,,,,,,
69,201808,Clank!: A Deck-Building Adventure,2016,70,7.82,0.01,31790,233371,199792,328871,266507,169786,262712,,,,,,,,,,,,,,,,,,,,,,
70,229853,Teotihuacan: City of Gods,2018,71,7.93,0.01,15103,276025,247763,126163,308765,310873,216132,,,,,,,,,,,,,,,,,,,,,,
71,171623,The Voyages of Marco Polo,2015,72,7.84,0.01,21753,126163,203993,164928,73439,216132,193738,,,,,,,,,,,,,,,,,,,,,,
72,68448,7 Wonders,2010,73,7.74,0.01,89621,36218,129622,34635,84876,30549,822,132531.0,70323.0,28143.0,148228.0,31481.0,128621.0,173346.0,31260.0,54043.0,98778.0,230802.0,209685.0,40692.0,178900.0,3076.0,13.0,266192.0,107529.0,125618.0,284083.0,163412.0,102794.0
73,157354,Five Tribes,2014,74,7.78,0.01,34435,123260,176494,164928,155426,170042,318084,,,,,,,,,,,,,,,,,,,,,,
74,200680,Agricola (Revised Edition),2016,75,8.0,0.01,11572,341169,220308,224517,167791,177736,102794,251247.0,256916.0,271320.0,193738.0,183394.0,283948.0,126163.0,182028.0,124361.0,120677.0,164928.0,317985.0,229853.0,84876.0,276025.0,286749.0,182874.0,35677.0,216132.0,122515.0,342942.0,171623.0
75,62219,Dominant Species,2010,76,7.84,0.01,18748,28720,175914,182028,1,262941,54138,12333.0,2651.0,120677.0,27833.0,256960.0,31260.0,220308.0,19857.0,122515.0,72125.0,126042.0,43015.0,35677.0,105551.0,303954.0,124361.0,20551.0,224517.0,193738.0,125153.0,256730.0,145371.0
76,110327,Lords of Waterdeep,2012,77,7.75,0.01,48535,155426,132531,123260,31481,182134,176920,,,,,,,,,,,,,,,,,,,,,,
77,182874,Grand Austria Hotel,2015,78,7.88,0.01,14644,164928,203993,245638,220877,126163,229853,250458.0,247763.0,300322.0,244711.0,308765.0,102680.0,304420.0,171623.0,276025.0,245934.0,311193.0,193738.0,228341.0,216132.0,143693.0,234487.0,310873.0,227789.0,227224.0,262215.0,283948.0,343905.0
78,264220,Tainted Grail: The Fall of Avalon,2019,79,8.27,0.01,7943,322708,280794,188920,325494,311988,310100,,,,,,,,,,,,,,,,,,,,,,
79,122515,Keyflower,2012,80,7.78,0.01,20087,73439,124361,193738,35677,120677,216132,146886.0,43015.0,28720.0,144733.0,126163.0,84876.0,196340.0,2651.0,171623.0,177736.0,143693.0,220308.0,31260.0,256730.0,102794.0,128271.0,317985.0,102680.0,203993.0,28143.0,172386.0,251247.0
80,236457,Architects of the West Kingdom,2018,81,7.81,0.01,20437,312484,286096,342942,183394,276025,170042,,,,,,,,,,,,,,,,,,,,,,
81,93,El Grande,1995,82,7.75,0.01,24438,43015,42,3076,54,18602,31260,124361.0,2651.0,84876.0,28143.0,31594.0,19857.0,122515.0,555.0,8217.0,120677.0,73439.0,12.0,63888.0,25554.0,47.0,55670.0,5404.0,148949.0,2955.0,28720.0,193738.0,9216.0
82,18602,Caylus,2005,83,7.75,0.01,27452,3076,31594,31260,25554,555,9216,93.0,66589.0,2651.0,55670.0,144733.0,66362.0,43015.0,39938.0,8217.0,120677.0,33160.0,35570.0,35677.0,54.0,96913.0,73439.0,65781.0,122515.0,25613.0,27833.0,20551.0,58421.0
83,37111,Battlestar Galactica: The Board Game,2008,84,7.74,0.01,33914,72125,31481,38453,12493,43111,150376,,,,,,,,,,,,,,,,,,,,,,
84,12493,Twilight Imperium: Third Edition,2005,85,7.83,0.01,18606,37111,72125,59294,77130,43111,25292,22827.0,104363.0,40765.0,9609.0,96848.0,15363.0,15062.0,175155.0,90137.0,22038.0,127023.0,187645.0,38453.0,233078.0,31481.0,39463.0,45315.0,15987.0,39339.0,131646.0,73171.0,146439.0
85,73439,Troyes,2010,86,7.75,0.01,20171,122515,124361,216132,146886,126163,171623,143693.0,35677.0,193738.0,196340.0,144733.0,102680.0,203993.0,84876.0,128271.0,120677.0,172386.0,164928.0,177736.0,144344.0,182874.0,317985.0,159675.0,156943.0,102794.0,43015.0,154809.0,220308.0
86,314040,Pandemic Legacy: Season 0,2020,87,8.64,0.01,3452,221107,161936,239188,266507,255984,146508,390092.0,2511.0,245655.0,224037.0,300300.0,279537.0,302723.0,338834.0,318977.0,328908.0,162886.0,218074.0,198928.0,291457.0,223321.0,259081.0,197376.0,174430.0,180263.0,195421.0,285192.0,204305.0
87,40834,Dominion: Intrigue,2009,88,7.71,0.01,31148,36218,31481,68448,40692,13,31260,209418.0,30549.0,3076.0,2651.0,119890.0,155873.0,28143.0,167791.0,155426.0,8217.0,110327.0,178900.0,132531.0,822.0,11.0,102794.0,128621.0,120677.0,166669.0,39856.0,123260.0,15062.0
88,172386,Mombasa,2015,89,7.87,0.01,11619,102680,203993,35677,70149,127060,217780,144592.0,171623.0,227789.0,159508.0,73439.0,104006.0,144733.0,193738.0,126163.0,245638.0,280480.0,144344.0,159675.0,244711.0,250458.0,216132.0,182874.0,154809.0,164928.0,233398.0,300322.0,229853.0
89,146021,Eldritch Horror,2013,90,7.79,0.01,31394,205059,257499,269385,340466,181279,100423,232918.0,174430.0,121921.0,193037.0,124708.0,271896.0,150376.0,167355.0,188920.0,291457.0,15987.0,253344.0,255984.0,192153.0,187645.0,96848.0,342848.0,189932.0,82222.0,322708.0,146652.0,362944.0
90,269385,The Lord of the Rings: Journeys in Middle-Earth,2019,91,8.01,0.01,11116,205059,291457,342848,322708,271896,174430,,,,,,,,,,,,,,,,,,,,,,
91,170042,Raiders of the North Sea,2015,92,7.77,0.01,18193,183394,286096,236457,221194,266810,157354,,,,,,,,,,,,,,,,,,,,,,
92,205896,Rising Sun,2018,93,7.84,0.01,17422,285967,170216,297562,233078,246900,127023,169786.0,237182.0,189932.0,195539.0,192457.0,54998.0,253499.0,222509.0,167355.0,187645.0,316554.0,232405.0,202408.0,245655.0,233247.0,175155.0,82222.0,340466.0,155821.0,181279.0,209010.0,176920.0
93,163412,Patchwork,2014,94,7.64,0.01,51877,230802,54043,148228,209685,233867,204583,194655.0,219513.0,173346.0,822.0,274960.0,158600.0,191862.0,266192.0,129622.0,295486.0,15512.0,364073.0,70919.0,199561.0,118048.0,50.0,215311.0,70323.0,192291.0,271324.0,98778.0,133473.0
94,144733,Russian Railroads,2013,95,7.76,0.01,15808,120677,193738,216132,126163,146886,171623,35677.0,73439.0,122515.0,172386.0,102794.0,84876.0,31260.0,70149.0,196340.0,154809.0,3076.0,220308.0,203993.0,124361.0,18602.0,177736.0,229853.0,159675.0,102680.0,104006.0,140620.0,276025.0
95,203993,Lorenzo il Magnifico,2016,96,7.88,0.01,10697,102680,182874,171623,164928,245638,244711,126163.0,172386.0,227789.0,229853.0,35677.0,73439.0,216132.0,193738.0,250458.0,283948.0,300322.0,196340.0,276025.0,143693.0,146886.0,127060.0,159675.0,308765.0,245934.0,310873.0,144344.0,124361.0
96,42,Tigris & Euphrates,1997,97,7.7,0.01,26115,93,43015,3,503,112,12,,,,,,,,,,,,,,,,,,,,,,
97,281259,The Isle of Cats,2019,98,7.93,0.01,10887,266524,300877,266192,350184,290236,233867,,,,,,,,,,,,,,,,,,,,,,
98,225694,Decrypto,2018,99,7.79,0.01,14308,92415,284083,178900,246784,324856,254640,98778.0,244992.0,169654.0,156129.0,279537.0,262543.0,135779.0,129622.0,198773.0,171131.0,351040.0,329839.0,39856.0,224037.0,11971.0,173346.0,209778.0,175117.0,147151.0,158600.0,266830.0,262712.0
99,102680,Trajan,2011,100,7.76,0.01,15519,203993,127060,172386,227789,171623,35677,245638.0,182874.0,164928.0,159508.0,144344.0,73439.0,126163.0,144592.0,143693.0,193558.0,245934.0,244711.0,104006.0,159675.0,136888.0,250458.0,217780.0,124361.0,300322.0,193738.0,206941.0,146886.0
100,178900,Codenames,2015,101,7.6,0.01,74009,30549,198773,98778,244992,284083,39856,254640.0,224037.0,129622.0,225694.0,92415.0,131357.0,156129.0,147151.0,181304.0,209778.0,70323.0,147949.0,171131.0,166384.0,68448.0,192291.0,324856.0,46213.0,157969.0,262543.0,36218.0,13.0
101,155821,Inis,2016,102,7.81,0.01,14469,237182,274364,127023,170216,286749,54998,189932.0,338957.0,169786.0,202426.0,291572.0,297985.0,39463.0,319966.0,246900.0,233078.0,297562.0,205896.0,206718.0,233247.0,228328.0,316554.0,284653.0,182028.0,253499.0,247367.0,175155.0,283355.0
102,132531,Roll for the Galaxy,2014,103,7.65,0.01,28141,28143,68448,97207,84876,110327,31481,,,,,,,,,,,,,,,,,,,,,,
103,36218,Dominion,2008,104,7.61,0.01,81362,68448,31481,30549,132531,28143,31260,129622.0,13.0,40692.0,40834.0,822.0,70323.0,178900.0,155426.0,110327.0,84876.0,11.0,3076.0,284083.0,128621.0,119890.0,34635.0,148949.0,98778.0,2651.0,123260.0,266192.0,167791.0
104,233371,Clank! In! Space!: A Deck-Building Adventure,2017,105,7.85,0.01,10673,201808,266507,365717,328871,169786,316554,,,,,,,,,,,,,,,,,,,,,,
